surveyId,lang,country,countryPop,sneType,party.string,euFundRec,mlgS1,mlgS2,mlgS3,mlgS4,mlgS5,mlgC1,mlgC2,euCompSocpol,euCompEc,euCompInAf,euCompForAf,euCompOv,snaCompSocpol,snaCompEc,snaCompInAf,snaCompForAf,snaCompOv,snaCompC1,snaCompC2,effectiveIntOrg,effectiveDirRel,effectiveNatDel,intorgUseEc,intorgUsePol,intorgUseCul,intorgUseOv,euFundImp,euFundImp.bin,represent,represent.bin,norepSneRep,norepKnow,norepMotiv,norepOpin,repTime,repDur,repSatis,repPersImp,repBenEc,repBenPol,repBenDem,repBenMlg,repOp,repVoteCom,repVoteNatDel,repVoteParty,repVoteSne,extOffice,extOfficeBin,nooffSneOff,noooffKnow,nooffMotiv,extOffTime,extOffDur,extOffSatis,extOffPersImp,age,gender,eduLev,polLeftRight,polIdLoc,polIdNat,polIdEu,polIdCul,polIdIdeo
54,fr,Belgium,11259000,Local,parti socialiste PS,1,4,4,4,5,5,4,4,5,4,4,NA,4,3,3,4,3,3,4,2,0,1,0,4,4,4,4,3,1,NONE,0,1,2,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,3,5,,NA,NA,NA,67,Male,1,2,1,1,1,0,1
56,en,Sweden,9794000,RegionAd,Socialdemokraterna,1,2,3,3,4,2,2,2,4,4,4,4,4,5,2,2,2,3,1,2,0,1,0,2,3,1,2,3,1,OTHER,1,,NA,NA,NA,CURRENT,4,4,3,4,2,2,2,SAME,NA,NA,NA,NA,NONE,0,1,3,1,,NA,NA,NA,37,Male,2,3,1,0,0,0,1
57,en,Norway,5194000,RegionAd,Liberal party,0,3,2,2,3,4,NA,5,4,4,3,4,4,4,3,2,2,4,3,4,1,1,0,2,2,2,2,2,0,NONE,0,1,1,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,NA,,NA,NA,NA,44,NA,3,5,1,1,0,0,1
59,en,United Kingdom,65081000,Local,ukip,1,5,2,1,1,3,1,1,1,1,1,1,1,4,4,1,1,5,3,5,0,0,0,2,1,2,2,1,0,NONE,0,1,3,1,LESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,1,,NA,NA,NA,NA,Male,3,2,1,1,0,0,1
65,de,Switzerland,8265000,RegionLeg,"FrÅher SVP, heute parteilos, in Zukunft FDP",0,5,5,4,5,4,5,4,2,2,1,4,2,4,3,3,4,4,5,5,1,1,1,4,5,5,5,3,1,NONE,0,1,3,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,5,,NA,NA,NA,57,Male,3,7,1,0,0,0,0
66,fr,Switzerland,8265000,RegionLeg,socialiste,0,4,4,4,4,4,2,2,4,5,5,5,5,5,4,2,2,4,2,2,1,1,0,4,4,4,4,4,1,NONE,0,1,3,2,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,2,,NA,NA,NA,37,Female,3,2,1,0,0,0,1
73,en,Croatia,4230000,RegionAd,IDS -DDI Liberal Democrat,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,1,1,1,4,4,5,4,4,1,COR,1,,NA,NA,NA,CURRENT,3,4,4,3,3,3,3,MORE,NA,NA,NA,NA,NONE,0,1,5,5,,NA,NA,NA,62,Female,3,4,1,0,1,1,1
74,it,Italy,60963000,RegionLeg,Partito Democratico,1,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,1,1,1,4,4,4,4,4,1,NONE,0,1,3,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,3,5,,NA,NA,NA,39,Female,2,1,1,1,1,0,1
76,en,Denmark,5673000,Local,,1,1,5,4,NA,5,NA,NA,1,3,5,5,3,5,4,3,1,5,2,5,1,1,1,4,3,NA,NA,2,0,OTHER,1,,NA,NA,NA,NA,1,4,2,4,4,2,4,SAME,NA,NA,NA,NA,NONE,0,1,3,NA,,NA,NA,NA,29,Female,2,7,1,0,0,0,1
77,en,Sweden,9794000,Local,The Health Care party of Norrbotten,1,4,4,4,3,5,3,3,2,2,4,4,2,3,3,4,3,3,2,3,0,1,1,2,3,3,3,2,0,NONE,0,1,2,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,1,,NA,NA,NA,70,Male,3,7,0,0,0,0,1
